weather,beginning,gridtype,ann_tech_type,ann_interface,hidden_nodes,penalty_reimbursement,seed,fitness
1,2014 12 31 23:50:00,0,ANN_D,3LN,2,100000.0,12345,0.6621
1,2014 12 31 23:50:00,1,ANN_D,3LN,2,100000.0,12345,1.2871
1,2014 12 31 23:50:00,2,ANN_D,3LN,2,100000.0,12345,1.7945
1,2014 12 31 23:50:00,3,ANN_D,3LN,2,100000.0,12345,1.8108
1,2014 12 31 23:50:00,4,ANN_D,3LN,2,100000.0,12345,1.8221
1,2015 6 21 23:50:00,0,ANN_D,FMN,2,100000.0,12345,1.3708
1,2015 6 21 23:50:00,1,ANN_D,FMN,2,100000.0,12345,2.7891
1,2015 6 21 23:50:00,2,ANN_D,FMN,2,100000.0,12345,2.8352
1,2015 6 21 23:50:00,3,ANN_D,FMN,2,100000.0,12345,2.8751
1,2015 6 21 23:50:00,4,ANN_D,FMN,2,100000.0,12345,2.8303
1,2014 12 31 23:50:00,0,ANN_D,FMN,2,100000.0,12345,0.4117
1,2014 12 31 23:50:00,1,ANN_D,FMN,2,100000.0,12345,0.8367
1,2014 12 31 23:50:00,2,ANN_D,FMN,2,100000.0,12345,1.3929
1,2014 12 31 23:50:00,3,ANN_D,FMN,2,100000.0,12345,1.4139
1,2014 12 31 23:50:00,4,ANN_D,FMN,2,100000.0,12345,1.4022
1,2015 6 21 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.3623
1,2015 6 21 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.7584
1,2015 6 21 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.8799
1,2015 6 21 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.8201
1,2015 6 21 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,2.8190
1,2014 12 31 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,0.2902
1,2014 12 31 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,0.8646
1,2014 12 31 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.4203
1,2014 12 31 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.4004
1,2014 12 31 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,1.3786
1,2015 6 21 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.3732
1,2015 6 21 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,2.7481
1,2015 6 21 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,3.0691
1,2015 6 21 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,2.8413
1,2015 6 21 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,2.8009
1,2014 12 31 23:50:00,0,ANN_B_SIGMOID,FMN,2,100000.0,12345,0.3410
1,2014 12 31 23:50:00,1,ANN_B_SIGMOID,FMN,2,100000.0,12345,0.8627
1,2014 12 31 23:50:00,2,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.4144
1,2014 12 31 23:50:00,3,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.4144
1,2014 12 31 23:50:00,4,ANN_B_SIGMOID,FMN,2,100000.0,12345,1.4142
1,2015 6 21 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.3629
1,2015 6 21 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.7852
1,2015 6 21 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.9131
1,2015 6 21 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.8463
1,2015 6 21 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,2.8612
1,2014 12 31 23:50:00,0,ANN_C_SIGMOID,FMN,2,100000.0,12345,0.3761
1,2014 12 31 23:50:00,1,ANN_C_SIGMOID,FMN,2,100000.0,12345,0.8911
1,2014 12 31 23:50:00,2,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.4843
1,2014 12 31 23:50:00,3,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.3798
1,2014 12 31 23:50:00,4,ANN_C_SIGMOID,FMN,2,100000.0,12345,1.3893
1,2015 6 21 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.3708
1,2015 6 21 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.7891
1,2015 6 21 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.8352
1,2015 6 21 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.8751
1,2015 6 21 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,2.8303
1,2014 12 31 23:50:00,0,ANN_D_SIGMOID,FMN,2,100000.0,12345,0.4117
1,2014 12 31 23:50:00,1,ANN_D_SIGMOID,FMN,2,100000.0,12345,0.8367
1,2014 12 31 23:50:00,2,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.3929
1,2014 12 31 23:50:00,3,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.4139
1,2014 12 31 23:50:00,4,ANN_D_SIGMOID,FMN,2,100000.0,12345,1.4022
0,2015 6 21 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,2,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,3,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2015 6 21 23:50:00,4,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,0,ANN_A_SIGMOID,FMN,2,100000.0,12345,
0,2014 12 31 23:50:00,1,ANN_A_SIGMOID,FMN,2,100000.0,12345,
