Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
1.2076,179.9617,50.0000,212.9953,147.9173,10.7234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2076,174.2350,37.0000,220.6567,20.7413,31.3250,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.2076,167.8267,37.0000,219.8566,20.6683,37.6100,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
1.2076,165.3783,37.0000,212.3298,21.9695,37.8869,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
1.2258,162.8173,37.0000,223.3130,36.1429,39.6805,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
1.2258,146.8287,37.0000,213.7978,17.3127,47.5916,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.3500,0.0667,0.0000,0.0000
1.2258,148.1521,37.0000,218.0333,19.8726,42.3124,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2258,148.0636,37.0000,220.2624,13.7032,47.3798,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,157.4636,37.0000,219.0906,8.1340,43.2860,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,147.4529,37.0000,214.2354,8.1340,45.9581,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.2500,0.0667,0.0000,0.0000
1.2722,143.1345,37.0000,216.6441,13.2866,46.8124,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,149.5503,37.0000,216.5946,16.1195,45.2951,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,145.2161,37.0000,216.9418,21.1483,44.5186,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,153.8610,37.0000,233.0600,9.6043,50.1615,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,145.5026,37.0000,218.4143,7.4975,48.2735,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,148.0600,37.0000,224.0959,14.4034,45.4292,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,149.2989,37.0000,220.2984,21.0894,45.0451,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,150.5403,37.0000,218.1065,9.3117,45.1112,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.3000,0.0000,0.0000,0.0000
1.2722,147.7806,37.0000,233.6646,10.2106,46.5495,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,149.2845,37.0000,221.2663,10.1521,46.6660,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,148.0235,37.0000,226.2475,15.7157,47.1721,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,152.3679,37.0000,227.5252,18.3725,45.4953,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,152.0605,37.0000,219.3758,19.3816,42.8637,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,151.6444,37.0000,215.7607,18.8013,46.3078,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,151.0098,37.0000,225.9865,18.3921,47.6914,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2722,150.1823,37.0000,227.6812,8.5643,44.0108,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,149.9551,37.0000,237.1958,17.6074,46.2137,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,156.3839,37.0000,229.3024,10.8628,45.3263,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1000,0.2000,0.0000,0.0000
1.3285,140.3150,37.0000,225.2893,13.8295,47.3906,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,132.4761,37.0000,222.9527,10.5744,46.2017,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.3285,127.6642,37.0000,217.8403,13.2283,42.4522,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.4000,0.0000,0.0000,0.0000
1.3285,124.9011,37.0000,216.1657,8.1056,43.1990,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,119.4204,37.0000,209.1215,18.6687,40.8614,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,117.1256,37.0000,205.2461,5.9758,37.4733,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,115.8251,37.0000,202.7077,6.0772,37.1124,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,121.1660,37.0000,229.4592,8.7541,41.0283,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,118.9343,37.0000,207.7289,7.5476,37.3602,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,117.4700,37.0000,215.5245,9.6701,37.0973,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3285,119.1559,37.0000,215.6334,6.6533,38.4116,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
