Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
2.6388,514.7408,50.0000,573.1439,458.8337,17.9047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6388,496.9764,37.0000,581.9082,59.8133,89.3264,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6449,466.0982,37.0000,591.7576,58.9901,121.7178,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1500,0.1333,0.0000,0.0000
2.6781,448.0115,37.0000,596.4538,57.9248,122.1651,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.1000,0.2000,0.0000,0.0000
2.6781,447.4331,37.0000,590.1801,49.1909,111.4056,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
2.6781,475.4246,37.0000,606.3098,56.2478,102.9119,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.6781,452.7659,37.0000,610.4859,53.4070,122.3592,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.6781,443.0935,37.0000,603.4387,68.4440,125.7554,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
2.6781,436.0081,37.0000,629.4874,50.8600,138.2321,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
2.6781,407.5068,37.0000,618.1133,24.3577,147.4759,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7553,448.0770,37.0000,624.0194,39.9832,137.8915,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7553,434.9557,37.0000,631.7043,52.8442,127.4410,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
2.7553,416.2988,37.0000,620.8205,17.0452,128.9273,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7553,418.6657,37.0000,631.0846,57.0261,117.6835,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
2.7553,414.1222,37.0000,610.9086,41.8943,114.9106,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
2.7553,426.0533,37.0000,614.2416,20.1057,123.4886,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
2.7553,418.1567,37.0000,617.3497,20.9814,121.9793,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
