Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
0.2033,514.7408,50.0000,573.1439,458.8337,17.9047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2563,498.3889,37.0000,576.6378,52.9483,89.3282,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2831,488.2625,37.0000,582.5765,56.9792,109.9428,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.2000,0.2667,0.0000,0.0000
0.2831,439.0464,37.0000,604.7402,56.3385,136.6855,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1500,0.0000,0.0000,0.0000
0.2831,443.1657,37.0000,622.6667,58.1541,144.4520,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
0.2831,444.6794,37.0000,616.5894,20.3082,130.1961,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
0.3528,433.0159,37.0000,621.9590,53.6710,137.2921,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.1000,0.0000,0.0000,0.0000
0.3528,440.9332,37.0000,639.4546,24.1018,137.1990,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
0.3528,412.4555,37.0000,618.6964,43.0176,136.9783,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
0.3528,394.1314,37.0000,621.4943,39.4314,128.2712,8.0000,20.0000,15.0000,2.0000,5.0000,0.5000,0.1500,0.0667,0.0000,0.0000
0.3528,350.5818,37.0000,615.7020,23.0690,115.5149,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
0.3528,356.8107,37.0000,593.9862,24.0859,110.0822,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0500,0.1333,0.0000,0.0000
0.3528,394.9780,37.0000,610.3239,25.0149,144.7836,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.2000,0.0000,0.0000
0.3528,354.3979,37.0000,616.0138,14.4037,114.4689,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0500,0.1333,0.0000,0.0000
0.3528,364.9981,37.0000,648.9688,25.0873,115.5261,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
0.3587,352.2562,37.0000,613.9140,25.0873,116.6654,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3587,370.5399,37.0000,604.8985,55.2216,113.2937,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
0.3587,343.7803,37.0000,634.9513,27.5394,114.0603,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3587,344.0848,37.0000,635.3273,24.6337,114.2708,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
0.3587,311.8922,37.0000,593.2831,27.5181,106.9711,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3587,295.1362,37.0000,627.4276,12.2992,114.4054,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
0.3587,317.8882,37.0000,622.6608,26.2144,115.3032,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
0.3587,329.1557,37.0000,616.2530,26.2144,115.6533,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3587,331.4931,37.0000,631.7051,31.3658,117.2350,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3587,349.6721,37.0000,626.9724,26.2144,133.0438,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3587,322.4494,37.0000,658.5465,22.5872,116.0711,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3850,303.5428,37.0000,618.1667,26.8620,114.2345,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3850,310.9908,37.0000,624.8631,9.9330,112.4845,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0000,0.0667,0.0000,0.0000
0.3850,314.4479,37.0000,595.3919,12.7310,116.3285,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
0.3850,322.6322,37.0000,601.5557,23.8072,119.5359,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
