Best Fitness (0),Diversity,numSimulations,Max. diversity,Min. diversity,Deviation,number of Elite,number of Mutation,number of XOver,number of Renew,number of Random,effectivity of Elite,effectivity of Mutation,effectivity of XOver,effectivity of Renew,effectivity of Random
1.1860,0.6605,50.0000,0.8760,0.4138,0.0746,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1860,0.6446,37.0000,0.9399,0.0593,0.1325,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1860,0.6286,37.0000,1.0173,0.0586,0.1494,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.1333,0.0000,0.0000
1.2057,0.5881,37.0000,0.8596,0.0586,0.1572,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.1000,0.0667,0.0000,0.0000
1.2057,0.5406,37.0000,0.8470,0.0379,0.1667,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.2000,0.2667,0.0000,0.0000
1.2786,0.5705,37.0000,0.8641,0.0167,0.1466,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2786,0.5682,37.0000,0.9831,0.0082,0.1548,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.2000,0.2667,0.0000,0.0000
1.2786,0.5974,37.0000,0.9248,0.0465,0.1508,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2786,0.5609,37.0000,1.0004,0.0367,0.1699,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2799,0.5081,37.0000,0.8045,0.0158,0.1540,8.0000,20.0000,15.0000,2.0000,5.0000,0.8750,0.0500,0.0000,0.0000,0.0000
1.2799,0.4940,37.0000,0.8049,0.0094,0.1480,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0500,0.0667,0.0000,0.0000
1.2799,0.4656,37.0000,0.7906,0.0094,0.1502,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2799,0.4564,37.0000,0.8029,0.0094,0.1478,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0500,0.1333,0.0000,0.0000
1.2799,0.4332,37.0000,0.7494,0.0094,0.1418,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2799,0.4496,37.0000,0.8666,0.0328,0.1487,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.2799,0.4068,37.0000,0.7980,0.0135,0.1452,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3155,0.4062,37.0000,0.8269,0.0099,0.1476,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3155,0.4198,37.0000,0.9268,0.0121,0.1481,8.0000,20.0000,15.0000,2.0000,5.0000,0.1250,0.0000,0.4667,0.0000,0.0000
1.3155,0.3930,37.0000,0.7157,0.0137,0.1261,8.0000,20.0000,15.0000,2.0000,5.0000,0.7500,0.0000,0.1333,0.0000,0.0000
1.3155,0.4134,37.0000,0.7964,0.0086,0.1329,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.4663,37.0000,0.8120,0.0129,0.1785,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.4671,37.0000,0.9630,0.0122,0.1903,8.0000,20.0000,15.0000,2.0000,5.0000,0.0000,0.0500,0.4667,0.0000,0.0000
1.3863,0.4417,37.0000,0.8778,0.0200,0.1703,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.4005,37.0000,0.7834,0.0200,0.1317,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3921,37.0000,0.8255,0.0208,0.1406,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3981,37.0000,0.9260,0.0229,0.1453,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.4073,37.0000,0.9649,0.0153,0.1605,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3926,37.0000,0.7389,0.0121,0.1264,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.4013,37.0000,0.8596,0.0077,0.1394,8.0000,20.0000,15.0000,2.0000,5.0000,0.3750,0.0000,0.3333,0.0000,0.0000
1.3863,0.3805,37.0000,0.8628,0.0230,0.1488,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3575,37.0000,0.8329,0.0202,0.1492,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3740,37.0000,0.7704,0.0076,0.1289,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3791,37.0000,0.7791,0.0228,0.1303,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3858,37.0000,0.8630,0.0137,0.1500,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.4215,37.0000,0.8504,0.0155,0.1638,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3996,37.0000,0.8988,0.0155,0.1477,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3899,37.0000,0.8732,0.0082,0.1504,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3912,37.0000,0.8946,0.0137,0.1553,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3878,37.0000,0.7389,0.0183,0.1396,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3767,37.0000,0.7938,0.0128,0.1301,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3863,0.3752,37.0000,0.8370,0.0076,0.1456,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3576,37.0000,0.7886,0.0076,0.1343,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3772,37.0000,0.9037,0.0158,0.1491,8.0000,20.0000,15.0000,2.0000,5.0000,0.2500,0.0500,0.3333,0.0000,0.0000
1.3864,0.3682,37.0000,0.7769,0.0158,0.1367,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3685,37.0000,0.7706,0.0167,0.1362,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3721,37.0000,0.8988,0.0148,0.1507,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3880,37.0000,0.8728,0.0136,0.1571,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3794,37.0000,0.7538,0.0119,0.1364,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3614,37.0000,0.8302,0.0119,0.1526,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3646,37.0000,0.8214,0.0043,0.1424,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3574,37.0000,0.8074,0.0065,0.1382,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3842,37.0000,0.9072,0.0115,0.1464,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3885,37.0000,0.9003,0.0137,0.1498,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3798,37.0000,0.8617,0.0137,0.1463,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3861,37.0000,0.7421,0.0206,0.1325,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3766,37.0000,0.8102,0.0119,0.1500,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3546,37.0000,0.7676,0.0119,0.1478,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3609,37.0000,0.7769,0.0174,0.1407,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3693,37.0000,0.9225,0.0127,0.1499,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3888,37.0000,0.7967,0.0228,0.1391,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3918,37.0000,0.8943,0.0137,0.1480,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3955,37.0000,1.0353,0.0199,0.1744,8.0000,20.0000,15.0000,2.0000,5.0000,0.6250,0.0000,0.2000,0.0000,0.0000
1.3864,0.3561,37.0000,0.7600,0.0063,0.1428,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3609,37.0000,0.8315,0.0344,0.1383,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3559,37.0000,0.9530,0.0137,0.1546,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3637,37.0000,0.8559,0.0137,0.1563,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3929,37.0000,0.8744,0.0021,0.1643,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4409,37.0000,0.8414,0.0021,0.1588,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3932,37.0000,0.8458,0.0021,0.1439,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3789,37.0000,0.7958,0.0122,0.1314,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4286,37.0000,0.8291,0.0122,0.1610,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3708,37.0000,0.8385,0.0094,0.1345,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3988,37.0000,0.9025,0.0122,0.1545,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3704,37.0000,0.8159,0.0137,0.1477,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3503,37.0000,0.7802,0.0021,0.1419,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3799,37.0000,0.8264,0.0122,0.1534,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3871,37.0000,0.8609,0.0128,0.1363,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3827,37.0000,0.8317,0.0122,0.1446,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4267,37.0000,0.8361,0.0042,0.1637,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4319,37.0000,0.8674,0.0021,0.1700,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3870,37.0000,0.7892,0.0042,0.1444,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3578,37.0000,0.8680,0.0122,0.1553,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4316,37.0000,0.9492,0.0122,0.1986,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.3934,37.0000,0.8443,0.0137,0.1653,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4759,37.0000,0.8522,0.0163,0.1905,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.5065,37.0000,0.8403,0.0386,0.1645,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4532,37.0000,0.9117,0.0063,0.1835,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
1.3864,0.4645,37.0000,0.8948,0.0137,0.2178,8.0000,20.0000,15.0000,2.0000,5.0000,1.0000,0.0000,0.0000,0.0000,0.0000
